,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Tasiilaq,92,GL,1536897000,86,65.61,-37.64,39.2,2.24
1,Lata,8,IN,1536898275,97,30.78,78.62,57.79,0.25
2,Palana,88,RU,1536898275,98,59.08,159.95,43.66,6.73
3,Isangel,76,VU,1536898275,100,-19.55,169.27,75.16,16.13
4,Nabire,92,ID,1536898276,94,-3.36,135.5,71.56,2.26
5,East London,0,ZA,1536894000,87,-33.02,27.91,48.2,5.82
6,Port-Gentil,80,GA,1536898276,99,-0.72,8.78,75.43,8.97
7,Albany,75,US,1536897240,81,42.65,-73.75,67.42,3.36
8,Margate,0,AU,1536895800,34,-43.03,147.26,68.0,17.22
9,Lima,24,PE,1536898277,80,-12.06,-77.04,55.18,2.48
10,Laguna,0,MX,1536898277,39,27.52,-110.01,92.26,6.06
11,Vardo,90,US,1536897300,97,39.62,-77.74,71.33,3.36
12,Busselton,24,AU,1536898278,100,-33.64,115.35,58.51,23.17
13,Chuy,64,UY,1536898202,97,-33.69,-53.46,57.88,9.64
14,Thompson,90,CA,1536894000,87,55.74,-97.86,50.0,7.52
15,Solwezi,68,ZM,1536898279,43,-12.18,26.4,64.72,7.74
16,Mmathubudukwane,0,BW,1536894000,17,-24.61,26.43,44.6,5.82
17,Ancud,24,CL,1536898279,84,-41.87,-73.83,41.14,2.82
18,Deputatskiy,0,RU,1536898280,63,69.3,139.9,42.13,7.96
19,Carnarvon,8,ZA,1536898135,70,-30.97,22.13,28.0,4.05
20,Maningrida,8,AU,1536898280,59,-12.05,134.23,85.69,14.34
21,Ribeira Grande,92,PT,1536898281,100,38.52,-28.7,73.81,11.43
22,Ushuaia,20,AR,1536897600,80,-54.81,-68.31,39.2,19.46
23,Qaanaaq,0,GL,1536898281,100,77.48,-69.36,24.49,6.06
24,Sitka,0,US,1536898281,53,37.17,-99.65,81.1,17.47
25,Mount Gambier,12,AU,1536898282,54,-37.83,140.78,67.6,10.98
26,Punta Arenas,40,CL,1536894000,86,-53.16,-70.91,41.0,5.82
27,Mineral Wells,1,US,1536897300,79,32.81,-98.11,77.27,3.36
28,Butaritari,64,KI,1536898282,100,3.07,172.79,84.61,11.65
29,Vaini,12,IN,1536898283,92,15.34,74.49,70.75,0.92
30,Dikson,92,RU,1536898283,100,73.51,80.55,38.26,22.17
31,Port Alfred,0,ZA,1536898283,97,-33.59,26.89,59.14,8.75
32,Rikitea,24,PF,1536898284,99,-23.12,-134.97,74.17,11.99
33,Cape Town,75,ZA,1536894000,87,-33.93,18.42,55.4,10.29
34,Osorio,75,VE,1536894000,100,8.16,-71.94,75.2,2.15
35,Narsaq,92,GL,1536897000,86,60.91,-46.05,37.4,1.12
36,Jamestown,0,AU,1536898285,28,-33.21,138.6,75.43,21.83
37,Hokitika,0,NZ,1536898285,90,-42.72,170.96,55.18,6.96
38,Bluff,0,AU,1536898286,35,-23.58,149.07,83.26,4.72
39,Los Llanos de Aridane,32,ES,1536897600,88,28.66,-17.92,73.4,6.93
40,Bambous Virieux,75,MU,1536894000,68,-20.34,57.76,71.6,8.05
41,Kapaa,90,US,1536895020,84,22.08,-159.32,78.98,8.05
42,Hobart,0,AU,1536895800,34,-42.88,147.33,68.0,17.22
43,Mandalgovi,12,MN,1536898290,83,45.76,106.27,37.54,19.26
44,Mataura,0,NZ,1536898290,58,-46.19,168.86,62.02,14.79
45,Byron Bay,0,AU,1536895800,60,-28.65,153.62,73.4,13.87
46,Demak,8,ID,1536898291,100,-6.89,110.64,80.92,8.63
47,Castro,0,CL,1536898291,99,-42.48,-73.76,37.36,2.37
48,Okhotsk,0,RU,1536898292,79,59.36,143.24,55.0,1.7
49,Umm Lajj,8,SA,1536898292,100,25.02,37.27,79.3,5.84
50,Kaitangata,12,NZ,1536898292,59,-46.28,169.85,60.49,17.25
51,Hermanus,32,ZA,1536898293,81,-34.42,19.24,51.31,7.74
52,Talara,0,PE,1536898293,88,-4.58,-81.27,64.81,5.73
53,Bethel,40,US,1536897180,58,60.79,-161.76,64.94,4.7
54,Aklavik,40,CA,1536894000,75,68.22,-135.01,32.0,8.05
55,Souillac,0,FR,1536897600,82,45.6,-0.6,60.64,3.36
56,Mahebourg,75,MU,1536894000,68,-20.41,57.7,71.6,8.05
57,Nanortalik,92,GL,1536898295,100,60.14,-45.24,36.46,6.17
58,Barrow,0,AR,1536898295,92,-38.31,-60.23,51.04,9.64
59,Pullman,1,US,1536897180,71,46.73,-117.17,56.39,9.17
60,Touros,8,BR,1536898296,83,-5.2,-35.46,74.53,18.59
61,Abu Zabad,0,SD,1536898296,92,12.35,29.25,69.58,2.93
62,Norman Wells,75,CA,1536894000,48,65.28,-126.83,41.0,9.17
63,Araouane,24,ML,1536898072,31,18.9,-3.53,78.58,2.93
64,Yellowknife,75,CA,1536894000,74,62.45,-114.38,33.8,6.93
65,Serenje,0,ZM,1536898297,59,-13.23,30.22,58.33,8.86
66,Tabat,0,ID,1536898297,60,-2.64,115.23,87.22,3.04
67,Cherskiy,48,RU,1536898297,62,68.75,161.3,43.93,2.93
68,Nikolskoye,0,RU,1536895800,93,59.7,30.79,50.0,4.47
69,New Norfolk,0,AU,1536895800,34,-42.78,147.06,68.0,17.22
70,Torbay,90,CA,1536895440,100,47.66,-52.73,51.8,4.7
71,Pevek,92,RU,1536898298,86,69.7,170.27,48.7,7.18
72,San Patricio,92,PY,1536898299,99,-26.98,-56.83,63.82,5.06
73,Porosozero,20,RU,1536898299,93,62.72,32.71,48.25,7.52
74,Hofn,64,IS,1536898300,100,64.25,-15.21,44.74,8.52
75,Payo,0,ID,1536898300,50,-3.75,103.64,88.48,3.94
76,Zhezkazgan,0,KZ,1536895800,37,47.8,67.71,55.4,6.71
