,Time,Source,Text,Compound,Positive,Neutral,Negative,Tweets Ago
0,2018-09-30 22:58:07+00:00,BBCNews,Conservative Party conference: Ministers brace for a bumpy week https://t.co/UBRtT3vM46,0.4019,0.252,0.748,0.0,0
1,2018-09-30 22:30:11+00:00,BBCNews,Newspaper headlines: 'Brexit divisions erupt' amid 'Tory backlash' https://t.co/KnerUotdrT,0.0,0.0,1.0,0.0,-1
2,2018-09-30 21:38:49+00:00,BBCNews,Russian GP: A baddie today or an idiot tomorrow? Which would you be? https://t.co/GlDAxAk3Zh,-0.5661,0.0,0.766,0.234,-2
3,2018-09-30 21:21:17+00:00,BBCNews,Indonesia earthquake: Dozens feared trapped under quake rubble https://t.co/oEwf1rfreW,-0.765,0.0,0.515,0.485,-3
4,2018-09-30 20:57:39+00:00,BBCNews,"Powerful Typhoon Trami hits Japan, injuring dozens https://t.co/dlEEpSeUnr",0.4215,0.286,0.714,0.0,-4
5,2018-09-30 20:35:23+00:00,BBCNews,"Garth Crooks' team of the week: Sterling, Ozil, Sigurdsson - but who else? https://t.co/4NJl7HmN56",0.0,0.0,1.0,0.0,-5
6,2018-09-30 20:16:18+00:00,BBCNews,Hadlow stab deaths: Mother and daughter victims named https://t.co/JmpkgedTJQ,-0.7269,0.0,0.534,0.466,-6
7,2018-09-30 17:41:08+00:00,BBCNews,Cardiff City 1-2 Burnley: Neil Warnock's side remain winless after Sam Vokes goal https://t.co/KlLcnRqIfr,0.0,0.0,1.0,0.0,-7
8,2018-09-30 17:10:30+00:00,BBCNews,Kellyanne Conway: 'I'm a victim of sexual assault' https://t.co/eVzKH193F1,-0.7096,0.0,0.504,0.496,-8
9,2018-09-30 16:32:54+00:00,BBCNews,"RT @BBCPolitics: ""If you don't play by international rules then the price will always be too high"" - Foreign Secretary Jeremy Hunt warns Ru…",-0.3476,0.0,0.859,0.141,-9
10,2018-09-30 16:19:43+00:00,BBCNews,Suspected burglar dies in Coventry roof fall https://t.co/mOFD2CHlvp,-0.2263,0.0,0.787,0.213,-10
11,2018-09-30 16:17:38+00:00,BBCNews,"RT @BBCPolitics: ""If you turn the EU club into a prison, the desire to get out won't diminish it will grow"" - Foreign Secretary Jeremy Hunt…",-0.1531,0.096,0.786,0.118,-11
12,2018-09-30 15:50:02+00:00,BBCNews,"RT @BBCWorld: His tweeting has cost him and his firm $20m, his role as chair... and he's being sued for defamation - Who is Elon Musk?
(Tap…",0.0,0.0,1.0,0.0,-12
13,2018-09-30 15:44:56+00:00,BBCNews,North Korea defector numbers 'drop' under Kim https://t.co/tsFi00tVXf,-0.4404,0.0,0.707,0.293,-13
14,2018-09-30 15:22:00+00:00,BBCNews,October 1968: The birth of the Northern Ireland Troubles? https://t.co/Tp4vfEXuSx,-0.4588,0.0,0.75,0.25,-14
15,2018-09-30 15:07:08+00:00,BBCNews,Ryder Cup 2018: Europe thrash US to regain Ryder Cup https://t.co/04uGxV1dfo,0.0,0.0,1.0,0.0,-15
16,2018-09-30 15:02:30+00:00,BBCNews,"RT @5liveSport: That's it!

Mickelson hits the water and concedes to Francesco Molinari!

#TeamEurope have won the #RyderCup !!

🎙️📻https:/…",0.7067,0.204,0.796,0.0,-16
17,2018-09-30 14:33:43+00:00,BBCNews,Menga strike gives Livingston 1-0 win over Rangers https://t.co/RnQaIdnTl3,0.5106,0.309,0.569,0.122,-17
18,2018-09-30 14:00:41+00:00,BBCNews,"RT @BBCPolitics: New tax on foreign home buyers to help rough sleepers, PM says https://t.co/HgR6EMrxcq",0.4019,0.162,0.838,0.0,-18
19,2018-09-30 13:59:36+00:00,BBCNews,Alan Titchmarsh herds sheep over London Bridge https://t.co/wTr9eCbwqX,0.0,0.0,1.0,0.0,-19
20,2018-09-30 13:33:19+00:00,BBCNews,Cristiano Ronaldo denies rape claim as 'fake news' https://t.co/onsY7SpfjY,-0.891,0.0,0.361,0.639,-20
21,2018-09-30 13:03:09+00:00,BBCNews,Lewis Hamilton wins in Russia after team orders https://t.co/o6rUhp6Jkq,0.5719,0.316,0.684,0.0,-21
22,2018-09-30 12:45:08+00:00,BBCNews,Has 'dieting' become a dirty word? 🤐 https://t.co/vXHShgIsVn,-0.4404,0.0,0.633,0.367,-22
23,2018-09-30 12:32:28+00:00,BBCNews,"Is there a word for when you can't find the right word? 🤔 
(Tap to expand)
https://t.co/oi9oTamXuZ… https://t.co/cjPLFw5hft",0.0,0.0,1.0,0.0,-23
24,2018-09-30 11:28:37+00:00,BBCNews,"RT @BBCWorld: Rescuers frantically search for survivors in earthquake and tsunami-hit Palu, where over 800 people have been confirmed dead…",-0.34,0.0,0.888,0.112,-24
25,2018-09-30 10:54:13+00:00,BBCNews,RT @BBCWorld: North Korea defector numbers 'drop' under Kim https://t.co/zDW1hw2GYw,-0.4404,0.0,0.756,0.244,-25
26,2018-09-30 10:42:41+00:00,BBCNews,Dellen Millard: Fun-loving heir whose killings stunned Canada https://t.co/SjQjYkgwD3,-0.7096,0.0,0.543,0.457,-26
27,2018-09-30 10:27:52+00:00,BBCNews,Man charged with murdering two women in Kent https://t.co/0oV9e46vCS,-0.7269,0.0,0.534,0.466,-27
28,2018-09-30 10:08:07+00:00,BBCNews,"RT @BBCPolitics: “Overall, we are putting £1.4 billon extra into school budgets this year,” says the Prime Minister @theresa_may#marr https…",0.0,0.0,1.0,0.0,-28
29,2018-09-30 10:07:58+00:00,BBCNews,"""Foreign buyers coming in actually pushes house prices up and lowers home ownership... I want to ensure people in t… https://t.co/cl0OvS8yhJ",0.34,0.174,0.759,0.067,-29
30,2018-09-30 10:05:34+00:00,BBCNews,Manchester United: Is Jose Mourinho's third-season syndrome a myth or is it happening again? https://t.co/ZS9DNtT6Wd,0.4215,0.177,0.823,0.0,-30
31,2018-09-30 10:04:15+00:00,BBCNews,"RT @BBCPolitics: On the Windrush Generation, @theresa_may says: “I apologise for the fact that some people got caught up in that, were caug…",0.3818,0.106,0.894,0.0,-31
32,2018-09-30 09:54:28+00:00,BBCNews,"RT @BBCPolitics: The Prime Minister @theresa_may says: “We, as a UK government are still committed to doing everything we can to ensure the…",0.5719,0.19,0.81,0.0,-32
33,2018-09-30 09:51:04+00:00,BBCNews,"RT @BBCPolitics: “We think @theresa_may could get closer to [the Labour Party] on where a Custom Union should go,” says Deputy Leader of th…",0.0,0.0,1.0,0.0,-33
34,2018-09-30 09:47:31+00:00,BBCNews,"RT @BBCPolitics: “We will make a success of Brexit, regardless of the outcome of the negotiations,” says the Prime Minister @theresa_may #m…",0.5719,0.156,0.844,0.0,-34
35,2018-09-30 09:43:57+00:00,BBCNews,"RT @BBCPolitics: “Chequers, at the moment, is the only plan at the moment that delivers on the Brexit vote in the way I’ve set out,” says @…",0.0,0.0,1.0,0.0,-35
36,2018-09-30 09:39:15+00:00,BBCNews,Alfredo Morelos: Can Steven Gerrard tame Rangers' El Buffalo? https://t.co/48almQFOkG,0.0,0.0,1.0,0.0,-36
37,2018-09-30 09:36:59+00:00,BBCNews,RT @BBCPolitics: Actor Sir Mark Rylance looks back at the Stop the War protest #marr https://t.co/SIpZ77iqsN,-0.7964,0.0,0.616,0.384,-37
38,2018-09-30 09:26:28+00:00,BBCNews,RT @BBCPolitics: A promise for another referendum “is too early to say” explains @tom_watson “but we’re not ruling it out”. #marr https://t…,0.3182,0.103,0.897,0.0,-38
